MainTerm,SubRole,SubTerm,SrcFragment,ExtractedSeqNum
дерево,вид,твердое дерево,"такие деревья как твердые деревья с большой кроной и другие деревья, например разноцветные деревья","0
;_; 2
"
дерево,вид,красное,красное дерево,1
дерево,вид,береза,"очень интересные в контексте деревья, как к примеру береза, клен, липа",2
дерево,вид,клен,"очень интересные в контексте деревья, как к примеру береза, клен, липа",1
дерево,часть,лист,"части дерева: листья, ветки, ствол","0
;_; 2
"
шкаф,материал,дерево,шкаф из дерева или красного дерева,1
шкаф,материал,красное дерево,шкаф из дерева,0
дерево,часть,ветка,"части дерева: листья, ветки, ствол","1
;_; 20
"
дерево,вид,зеленое,текст,1
дерево,вид,молодое дерево,текст,1
морковь,часть,ботва,текст,"1
;_; 2
"
морковь,часть,мякоть,текст,2
эмоция,вид,эмоция раздражение,текст,2
эмоция раздражение,противоположность,эмоция спокойствие,текст,1
эмоция раздражение,противоположность,полное умиротворение,текст,2
эмоция раздражение,различие,эмоция радость,текст,0
эмоция раздражение,различие,эмоция радость,текст,1
чувство,вид,апатия,текст,0
чувство,вид,воодушевление,текст,0
апатия,противоположность,воодушевление,текст,2
дерево,аспект,твердость,текст,1
дерево,параметр,запах,текст,2
дерево,аспект,цвет,текст,3
дерево,параметр,цвет,текст,4
дерево,параметр,твердость,текст,5
дерево,аспект,число листьев,текст,1
доска,вид,доска из дерева,текст,2
дерево,параметр,высота дерева,текст,1
дерево,вид,низкое,текст,3
деревянный,вид,березовый,текст,1
эмоция спокойствие,противоположность,эмоция раздражение,текст,1
воодушевление,противоположность,апатия,текст,3
